案件番号,得意先名,物件名,資料リンク
467199,(株)オープンハウス・ディベロップメント,妙典303⑤4,https://nskkogyo.sharepoint.com/:f:/s/kantou/EjElFuGt36dFrkA1VsXAqqsBW8EOVQIsLHxDHwZHCHIlFg?e=GakX3N
466603,(株)オープンハウス・ディベロップメント,鶴ｹ峰本町203⑨9,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={23601f6a-266e-42eb-877a-9dbf8130d011}
468374,(株)オープンハウス・ディベロップメント,大戸517③1,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={8f3dfbfd-7134-42fc-ac5e-daade5cdd900}
465522,(株)オープンハウス・ディベロップメント,前原東407Ⅲ②2,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={4949e35d-8023-454f-8a3a-02c8e3dce978}
468382,(株)オープンハウス・ディベロップメント,一の谷492④3,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={6e660411-6d4b-48a7-8f7a-7dbd45902080}
469193,(株)オープンハウス・ディベロップメント,大字筑紫01640②2,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={422adf6c-e89a-4e31-8d62-4bad892d5ed4}
468711,(株)オープンハウス・ディベロップメント,大字筑紫01640②1,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={b2d93ef0-8d4e-4a08-8e18-f781ef2ef654}
467187,(株)オープンハウス・ディベロップメント,菅野215⑦7,https://nskkogyo.sharepoint.com/:f:/s/kantou/EiH6ESyBn6JDrUAClFeB2QQB23i--NygKGtzbCYb7if5MQ?e=NfjOeZ
468427,(株)オープンハウス・ディベロップメント,笹丘136③1,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={0d23f4d1-9494-47f3-b63c-10e64148e3ea}
468431,(株)オープンハウス・ディベロップメント,笹丘136③3,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={b42721a1-164a-42ee-bc08-d196d17bffc1}
470087,(株)オープンハウス・ディベロップメント,西東京中町517③1,https://nskkogyo.sharepoint.com/sites/kantou/_layouts/15/viewer.aspx?sourcedoc={b78c0e32-7dfc-4c98-8d41-18a1d34553fe}
